Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,SkatCards,SkatPoints,WinProb,PlayedCards,DiscardedCards,PostJacksMask,PostTrumpCount,PostAces,PostTens,PostAttachedTens,PostTenKingSmall,PostSkatFulls
[SJ CK CQ SA SK S7 H7 D9 D8 D7],S,3,1,0,0,0,0,[CT S9],10,0.0000,[CK CQ SA SK S9 S7 H7 D9 D8 D7],[SJ CT],-,2,1,0,0,0,1
[CT CK C7 ST SQ S9 HA DQ D8 D7],-,3,1,1,0,0,0,[S8 HT],10,0.0000,[C7 ST SQ S9 S8 HA HT DQ D8 D7],[CT CK],-,1,1,2,1,0,1
[CJ HJ DJ CT C9 ST SQ HK DT D7],CHD,5,0,2,0,0,0,[DQ D9],3,0.0250,[CJ HJ DJ CT C9 ST DT DQ D9 D7],[SQ HK],CHD,5,0,2,0,0,0
[SQ S9 HA HT HK H9 DA DK DQ D8],-,0,2,1,1,1,0,[C7 S8],0,0.0000,[S9 S8 HA HT HK H9 DA DK DQ D8],[C7 SQ],-,0,2,1,1,1,0
[SJ HJ CQ ST SK S9 S7 HQ DA DQ],SH,3,1,1,0,1,0,[S8 DK],4,0.0000,[CQ ST SK S9 S8 S7 HQ DA DK DQ],[SJ HJ],-,1,1,1,0,1,0
[CJ DJ CK CQ C8 ST SK SQ HK DT],CD,5,0,2,0,0,0,[SJ HT],12,0.4750,[CJ SJ DJ CK CQ ST SK SQ HT HK],[C8 DT],CSD,5,0,2,0,0,1
[SJ C9 ST SK S9 HA HK DK DQ D7],S,2,1,1,0,1,0,[CA DT],21,0.0000,[C9 ST SK S9 HA HK DT DK DQ D7],[SJ CA],-,1,1,2,0,2,1
[HJ C7 SA ST SK SQ S8 HT HK D9],H,2,1,2,1,1,0,[DA DQ],14,0.0000,[SA ST SK SQ S8 HT HK DA DQ D9],[HJ C7],-,0,2,2,1,1,0
[CJ CQ C9 C8 SA SQ H7 DA DQ D7],C,4,2,0,0,0,0,[S9 DK],4,0.0000,[CJ CQ C9 C8 SA S9 DA DK DQ D7],[SQ H7],C,4,2,0,0,0,0
[CA CT CQ ST SQ HA HQ DK D9 D8],-,3,1,1,0,0,0,[SJ S8],2,0.0000,[CT CQ ST SQ S8 HA HQ DK D9 D8],[SJ CA],-,2,1,1,0,0,1
[SJ CA C8 SQ S7 HT HK H7 DA D8],S,3,1,1,0,1,0,[H8 DT],10,0.0000,[C8 SQ S7 HT HK H8 H7 DA DT D8],[SJ CA],-,1,1,2,1,1,1
[SJ CT C9 SA S7 HT HK HQ DQ D8],S,3,1,1,0,0,0,[CK DT],14,0.0000,[CK C9 SA S7 HT HK HQ DT DQ D8],[SJ CT],-,2,1,2,0,0,1
[HJ C9 SQ S9 S7 HT HQ H7 DA DK],H,2,1,1,0,0,0,[DJ H9],2,0.0000,[C9 SQ S9 S7 HT HQ H9 H7 DA DK],[HJ DJ],-,1,1,1,0,0,0
[DJ C7 SA ST SQ HQ DT DK D8 D7],D,2,1,2,1,1,0,[CQ SK],7,0.0000,[C7 SA ST SK SQ HQ DT DK D8 D7],[DJ CQ],-,1,1,2,1,1,0
[CJ SJ CA CK C9 HA HK H7 DK D9],CS,5,1,0,0,0,0,[DQ D7],3,0.1500,[CJ SJ CA CK C9 HA HK H7 DQ D9],[DK D7],CS,5,1,0,0,0,0
[CJ CQ C8 S8 S7 H8 H7 DT DQ D8],C,3,0,1,0,0,0,[SJ HQ],5,0.0000,[CQ C8 S8 S7 HQ H8 H7 DT DQ D8],[CJ SJ],-,2,0,1,0,0,0
[HJ CA SK S7 HT HK HQ H7 D9 D7],H,2,0,1,0,1,0,[DT D8],10,0.0000,[SK S7 HT HK HQ H7 DT D9 D8 D7],[HJ CA],-,0,0,2,0,1,1
[SA SK S8 S7 HA HT H8 DT D9 D7],-,0,2,2,1,0,0,[CK ST],14,0.0000,[ST SK S8 S7 HA HT H8 DT D9 D7],[CK SA],-,0,1,3,1,1,1
[SJ DJ CT CK SK SQ S7 HT DA DT],SD,4,1,2,1,0,0,[CJ HJ],4,0.9500,[CJ SJ HJ DJ CT CK S7 HT DA DT],[SK SQ],CSHD,6,1,2,1,0,0
[CJ SJ HJ CT SK SQ HA HT HQ DA],CSH,4,2,1,1,0,0,[S8 DT],10,0.8750,[CJ SJ HJ CT S8 HA HT HQ DA DT],[SK SQ],CSH,4,2,2,2,0,0
[HJ CT HA HQ H9 H8 DA DK D9 D7],H,2,2,0,0,0,0,[CQ HK],7,0.0000,[CQ HA HK HQ H9 H8 DA DK D9 D7],[HJ CT],-,1,2,0,0,0,1
[HJ CQ SK S7 H9 H8 DK DQ D9 D8],H,2,0,0,0,0,0,[SQ S8],3,0.0000,[SK SQ S8 S7 H9 H8 DK DQ D9 D8],[HJ CQ],-,0,0,0,0,0,0
[SJ C9 C8 SA SK S8 H7 DA DT DK],S,3,2,1,1,0,0,[CK S9],4,0.1000,[SJ CK C9 C8 SA SK S9 DA DT DK],[S8 H7],S,4,2,1,1,0,0
[C8 SQ S9 HT HQ H9 H8 H7 DT D9],-,1,0,2,0,0,0,[SJ HA],13,0.0000,[SQ S9 HA HT HQ H9 H8 H7 DT D9],[SJ C8],-,0,1,2,1,0,0
[SJ HJ DJ CQ C9 SA HA DT DK D9],SHD,5,2,1,0,1,0,[CK HQ],7,0.9250,[SJ HJ DJ CK CQ C9 SA HA DT DK],[HQ D9],SHD,6,2,1,0,0,0
[CA CT C9 SQ S9 HA H9 DA DT DK],-,3,2,1,1,0,0,[S8 HK],4,0.0000,[C9 SQ S9 S8 HA HK H9 DA DT DK],[CA CT],-,1,2,1,1,0,2
[HJ DJ C9 ST S7 HT H8 DT DK DQ],HD,3,0,3,0,0,0,[SK D7],4,0.0000,[C9 ST SK S7 HT H8 DT DK DQ D7],[HJ DJ],-,1,0,3,0,2,0
[CJ CK C9 C8 ST SQ S8 HA HQ D7],C,4,1,1,0,0,0,[CQ C7],3,0.4250,[CJ CK CQ C9 C8 C7 ST SQ S8 HA],[HQ D7],C,6,1,1,0,0,0
[CJ SJ DJ HA HT H7 DT DK D9 D7],CSD,3,1,2,1,1,0,[CQ S8],3,0.0500,[CJ SJ DJ CQ HA HT H7 DT DK D7],[S8 D9],CSD,4,1,2,1,1,0
[CJ HJ C9 C7 ST S9 S7 H8 H7 DT],CH,4,0,2,0,0,0,[CQ DK],7,0.0000,[CQ C9 C7 ST S9 S7 H8 H7 DT DK],[CJ HJ],-,3,0,2,0,0,0
[CJ CA CK CQ C8 S7 H7 DT D9 D8],C,5,0,1,0,0,0,[HJ S8],2,0.3000,[CJ HJ CA CK CQ C8 H7 DT D9 D8],[S8 S7],CH,6,0,1,0,0,0
[DJ SA HA HK HQ H9 H7 D9 D8 D7],D,1,2,0,0,0,0,[DT DK],14,0.0000,[HA HK HQ H9 H7 DT DK D9 D8 D7],[DJ SA],-,0,1,1,0,1,1
[DJ CQ C8 SQ S9 S7 HA HT HK DK],D,3,1,1,1,0,0,[CJ HJ],4,0.4500,[CJ HJ DJ CQ C8 SQ S7 HA HT HK],[S9 DK],CHD,5,1,1,1,0,0
[CJ DJ CK S9 S8 S7 HA H8 H7 DQ],CD,3,1,0,0,0,0,[CQ HQ],6,0.0000,[CK CQ S9 S8 S7 HA HQ H8 H7 DQ],[CJ DJ],-,2,1,0,0,0,0
[CA CQ C8 ST SQ H8 DA DT DK DQ],-,3,1,2,1,0,0,[CK D8],4,0.0000,[CQ C8 ST SQ H8 DA DT DK DQ D8],[CA CK],-,2,1,2,1,1,1
[CT C9 SQ S9 S7 HT H9 H7 DK D7],-,2,0,1,0,0,0,[CQ DT],13,0.0000,[C9 SQ S9 S7 HT H9 H7 DT DK D7],[CT CQ],-,1,0,2,0,1,1
[CK C8 S9 S7 HK H9 DT DK DQ D8],-,2,0,1,0,1,0,[HA HT],21,0.0000,[S9 S7 HA HT HK H9 DT DK DQ D8],[CK C8],-,0,1,2,1,2,0
[CJ HJ C9 SQ S8 HA HT H9 H8 DA],CH,3,2,1,1,0,0,[SK DT],14,0.0000,[CJ HJ C9 SQ HA HT H9 H8 DA DT],[SK S8],CH,3,2,2,2,0,0
[CJ DJ CT CK C8 S9 S8 HQ DK DQ],CD,5,0,0,0,0,0,[SQ H9],3,0.0000,[CT CK C8 SQ S9 S8 HQ H9 DK DQ],[CJ DJ],-,3,0,0,0,0,0
[HJ DJ CT C8 SA HT H9 H7 D9 D7],HD,4,1,1,0,0,0,[SJ HA],13,0.9250,[SJ HJ DJ CT C8 SA HA HT H9 H7],[D9 D7],SHD,5,2,1,1,0,0
[CQ C9 SQ S9 HA HK H8 DA D9 D7],-,2,2,0,0,0,0,[DJ CK],6,0.0000,[CQ C9 SQ S9 HA HK H8 DA D9 D7],[DJ CK],-,2,2,0,0,0,0
[SJ CT CK SA SK HA HT HK DT DQ],S,3,2,2,1,0,0,[C8 S7],0,0.0000,[SJ CT CK C8 SA HA HT HK DT DQ],[SK S7],S,4,2,2,1,0,0
[SJ HJ CT C8 C7 SA S7 HT HK DA],SH,5,2,1,0,0,0,[S8 D7],0,0.4000,[SJ HJ CT C8 C7 SA HT HK DA D7],[S8 S7],SH,5,2,1,0,0,0
[CA CT CK C9 C7 ST SK HK DT D8],-,5,0,2,0,0,0,[HT HQ],13,0.0000,[CK C9 C7 ST SK HT HK HQ DT D8],[CA CT],-,3,0,3,0,0,2
[CJ HJ CA CK SK SQ S8 H9 H8 H7],CH,4,0,0,0,0,0,[HT DK],14,0.0000,[CA CK SK SQ S8 HT H9 H8 H7 DK],[CJ HJ],-,2,0,1,0,0,0
[CJ CA C9 ST HK H8 H7 DK DQ D8],C,3,0,1,0,0,0,[SA H9],11,0.0000,[C9 SA ST HK H9 H8 H7 DK DQ D8],[CJ CA],-,1,1,1,1,0,1
[HJ CT C8 ST SK HA HK H8 DK D7],H,3,1,1,0,0,0,[CJ SA],13,0.4250,[CJ HJ CT C8 SA ST SK HA HK H8],[DK D7],CH,4,2,1,1,0,0
[HJ CK C8 SQ S9 HA H8 DT D9 D7],H,3,1,1,0,0,0,[SJ SA],13,0.0000,[CK C8 SA SQ S9 HA H8 DT D9 D7],[SJ HJ],-,2,2,1,0,0,0
[CJ CT C9 SA ST SK S8 S7 H7 DA],C,3,2,1,1,1,0,[C8 D8],0,0.0000,[C9 C8 SA ST SK S8 S7 H7 DA D8],[CJ CT],-,2,2,1,1,1,1
[CJ DJ CK C7 HT HK HQ DA DT D9],CD,4,1,2,1,0,0,[C9 D7],0,0.2750,[CJ DJ CK C9 C7 HK DA DT D9 D7],[HT HQ],CD,5,1,1,1,0,1
[DJ C9 C7 ST S9 H9 H7 DQ D8 D7],D,3,0,1,0,0,0,[CK HA],15,0.0000,[C9 C7 ST S9 HA H9 H7 DQ D8 D7],[DJ CK],-,2,1,1,0,0,0
[CA CT CK SK HT HQ H8 DT DQ D8],-,3,0,2,0,0,0,[ST HA],21,0.0000,[CK ST SK HA HT HQ H8 DT DQ D8],[CA CT],-,1,1,3,1,0,2
[CJ CK C9 ST SK HT HK H7 DA DQ],C,3,1,2,0,1,0,[HJ D7],2,0.0000,[CK C9 ST SK HT HK H7 DA DQ D7],[CJ HJ],-,2,1,2,0,1,0
[CJ DJ CK C7 SA SQ S9 H9 H7 D9],CD,4,1,0,0,0,0,[DA DT],21,0.1000,[CJ DJ CK C7 SA H9 H7 DA DT D9],[SQ S9],CD,4,2,1,1,0,0
[HJ CT ST S7 HA HK H8 H7 DQ D7],H,2,1,1,0,0,0,[SK DT],14,0.0000,[ST SK S7 HA HK H8 H7 DT DQ D7],[HJ CT],-,0,1,2,0,1,1
[CJ HJ CA CQ SA S9 S8 HA DA DQ],CH,4,3,0,0,0,0,[HT DK],14,0.8250,[CJ HJ CA CQ SA S8 HA HT DA DQ],[S9 DK],CH,4,3,1,1,0,0
[CJ SJ C8 C7 SA HA H9 H8 DA D9],CS,4,3,0,0,0,0,[S7 H7],0,0.4750,[CJ SJ C8 C7 SA S7 HA H9 H8 DA],[H7 D9],CS,4,3,0,0,0,0
[SJ DJ CA C9 C8 SA S8 S7 H7 D9],SD,5,1,0,0,0,0,[CJ CT],12,0.8750,[CJ SJ CA CT C9 C8 SA S7 H7 D9],[DJ S8],CS,6,1,0,0,0,0
[CA CT CQ C8 ST S8 HA HQ D8 D7],-,4,1,1,0,0,0,[SK H9],4,0.0000,[CQ C8 ST SK S8 HA HQ H9 D8 D7],[CA CT],-,2,1,1,0,1,2
[CJ SJ C8 SA ST SQ S8 HA DA DT],CS,3,3,2,2,0,0,[CK HT],14,0.9000,[CJ SJ CK C8 ST S8 HA HT DA DT],[SA SQ],CS,4,2,3,2,0,1
[SJ CA C8 SK SQ S8 S7 HK H9 D8],S,3,0,0,0,0,0,[HA D9],11,0.0000,[C8 SK SQ S8 S7 HA HK H9 D9 D8],[SJ CA],-,1,1,0,0,0,1
[CJ HJ DJ C8 SK S9 S8 H8 H7 DT],CHD,4,0,1,0,0,0,[SJ SQ],5,0.4500,[CJ SJ HJ DJ C8 SK SQ S9 S8 DT],[H8 H7],CSHD,5,0,1,0,0,0
[CJ DJ CA CT SA S8 S7 H9 D8 D7],CD,4,1,0,0,0,0,[HJ H7],2,0.3500,[CJ HJ DJ CA CT SA S8 S7 H9 H7],[D8 D7],CHD,5,1,0,0,0,0
[CJ SQ S8 HK HQ H9 H8 DA D9 D7],C,1,1,0,0,0,0,[SK HA],15,0.0000,[SQ S8 HA HK HQ H9 H8 DA D9 D7],[CJ SK],-,0,2,0,0,0,0
[SJ DJ CK SK SQ S8 DA DT D9 D8],SD,3,1,1,1,0,0,[C9 C8],0,0.0000,[CK C9 C8 SK SQ S8 DA DT D9 D8],[SJ DJ],-,3,1,1,1,0,0
[SJ CK CQ C8 SK SQ S9 S7 HT H9],S,4,0,1,0,0,0,[DK D8],4,0.0000,[CQ C8 SK SQ S9 S7 HT H9 DK D8],[SJ CK],-,2,0,1,0,0,0
[SJ DJ CQ SK S8 HT HK H9 H8 D8],SD,3,0,1,0,1,0,[H7 DQ],3,0.0000,[CQ SK S8 HT HK H9 H8 H7 DQ D8],[SJ DJ],-,1,0,1,0,1,0
[CA CQ C9 C8 C7 S9 HQ H8 H7 DK],-,5,0,0,0,0,0,[CK DA],15,0.0250,[CA CK CQ C9 C8 C7 HQ H7 DA DK],[S9 H8],-,6,1,0,0,0,0
[CK C9 ST SK SQ HK DQ D9 D8 D7],-,2,0,1,0,0,0,[DJ S9],2,0.0000,[C9 ST SK SQ S9 HK DQ D9 D8 D7],[DJ CK],-,1,0,1,0,1,0
[DJ C9 C7 SA ST HA HT H9 H7 D9],D,3,2,2,2,0,0,[SK HK],8,0.0000,[C7 SA ST SK HA HT HK H9 H7 D9],[DJ C9],-,1,2,2,2,1,0
[CT C9 C8 C7 SA ST S7 HK H8 DA],-,4,2,1,1,0,0,[HA DT],21,0.4250,[CT C9 C8 C7 SA ST HA HK DA DT],[S7 H8],-,4,3,2,2,0,0
[CJ HJ C8 ST SK S9 HQ DQ D9 D8],CH,3,0,1,0,1,0,[CT S8],10,0.0000,[CT C8 ST SK S9 S8 HQ DQ D9 D8],[CJ HJ],-,2,0,1,0,1,0
[CJ HJ CA CT ST S8 HA HK HQ H9],CH,4,1,1,0,0,0,[DJ C9],2,0.9250,[CJ HJ DJ CA CT C9 HA HK HQ H9],[ST S8],CHD,6,1,0,0,0,1
[CJ DJ C9 C8 SA HA H8 DA DK D7],CD,4,3,0,0,0,0,[CK HK],8,0.8000,[CJ DJ CK C9 C8 SA HA DA DK D7],[HK H8],CD,5,3,0,0,0,0
[CJ HJ CA CT SA SQ S9 S8 HQ D9],CH,4,1,0,0,0,0,[SJ DK],6,0.6500,[CJ SJ HJ CA CT SA SQ S9 S8 D9],[HQ DK],CSH,5,1,0,0,0,0
[CJ HJ CK C8 C7 SK S8 HA HK DA],CH,5,2,0,0,0,0,[SJ CQ],5,0.9500,[CJ SJ HJ CQ C8 SK S8 HA HK DA],[CK C7],CSH,5,2,0,0,0,0
[CJ SJ CK SK S7 HA HT HQ DT D8],CS,3,1,2,1,0,0,[CQ C8],3,0.2000,[CJ SJ CK CQ C8 SK S7 HA HT HQ],[DT D8],CS,5,1,1,1,0,1
[SJ HJ CT SQ S9 S7 HK HQ DK D8],SH,3,0,0,0,0,0,[DJ C9],2,0.0000,[DJ CT C9 SQ S9 S7 HK HQ DK D8],[SJ HJ],D,3,0,0,0,0,0
[CA C7 SA ST SK HQ H8 H7 DT D9],-,2,1,2,1,0,0,[S8 H9],0,0.0000,[SA ST SK S8 HQ H9 H8 H7 DT D9],[CA C7],-,0,1,2,1,1,1
[CJ CT C9 ST SQ S9 S7 HQ DQ D8],C,3,0,1,0,0,0,[SA DK],15,0.0000,[C9 SA ST SQ S9 S7 HQ DK DQ D8],[CJ CT],-,1,1,1,1,0,1
[CJ C9 SK SQ S7 HT HK HQ H7 D9],C,2,0,1,0,1,0,[S9 D8],0,0.0000,[SK SQ S9 S7 HT HK HQ H7 D9 D8],[CJ C9],-,0,0,1,0,1,0
[CJ SJ CQ C8 ST SK S8 S7 DQ D7],CS,4,0,1,0,1,0,[DT DK],14,0.0000,[CQ C8 ST SK S8 S7 DT DK DQ D7],[CJ SJ],-,2,0,2,0,2,0
[DJ CK C8 C7 SA S8 HA HK DA D9],D,4,3,0,0,0,0,[CJ DT],12,0.8250,[CJ DJ CK C8 SA HA HK DA DT D9],[C7 S8],CD,4,3,1,1,0,0
[CJ C7 S7 HT H8 DA DT DK D9 D8],C,2,1,2,1,1,0,[CK S9],4,0.0000,[C7 S9 S7 HT H8 DA DT DK D9 D8],[CJ CK],-,1,1,2,1,1,0
[SA ST SK HA HT HK DT DK DQ D9],-,0,2,3,2,1,0,[H8 D8],0,0.0000,[SK HA HT HK H8 DT DK DQ D9 D8],[SA ST],-,0,1,2,1,2,2
[CJ SJ HJ CK C9 SQ S9 HQ H9 H7],CSH,5,0,0,0,0,0,[CA DQ],14,0.4250,[CJ SJ HJ CA CK C9 HQ H9 H7 DQ],[SQ S9],CSH,6,0,0,0,0,0
[SJ DJ CA CT CK ST H8 DA DK D8],SD,5,1,1,0,0,0,[CJ HK],6,0.8000,[CJ SJ DJ CA CT CK ST DA DK D8],[HK H8],CSD,6,1,1,0,0,0
[CK C8 C7 S9 S8 HT HQ H9 DT DQ],-,3,0,2,0,0,0,[HK H8],4,0.0000,[C7 S9 S8 HT HK HQ H9 H8 DT DQ],[CK C8],-,1,0,2,0,1,0
[CJ CA CQ C8 SA HT DA DT DK D9],C,4,2,2,1,1,0,[C7 H9],0,0.8750,[CJ CA CQ C8 C7 SA DA DT DK D9],[HT H9],C,5,2,1,1,1,1
[DJ CA CT CK S8 HT H7 DA DQ D9],D,4,1,1,0,0,0,[SK HK],8,0.0000,[CT CK SK S8 HT HK H7 DA DQ D9],[DJ CA],-,2,1,1,0,1,1
[SJ CT C8 SK HT H8 DA DQ D8 D7],S,3,1,1,0,0,0,[HA DK],15,0.0000,[C8 SK HA HT H8 DA DK DQ D8 D7],[SJ CT],-,1,2,1,1,0,1
[CJ SJ CT C9 SK HA HK HQ DQ D9],CS,4,1,0,0,0,0,[H9 DT],10,0.0000,[CJ SJ CT C9 HA HK HQ H9 DT DQ],[SK D9],CS,4,1,1,0,0,0
[DJ CK CQ C9 C7 SK H7 DA D8 D7],D,5,1,0,0,0,0,[HA DQ],14,0.0000,[DJ CK CQ C9 C7 HA H7 DA DQ D7],[SK D8],D,5,2,0,0,0,0
[HJ DJ CQ C8 S9 HA HK DK D9 D8],HD,4,1,0,0,0,0,[CK H9],4,0.0000,[CK CQ C8 S9 HA HK H9 DK D9 D8],[HJ DJ],-,3,1,0,0,0,0
[HJ DJ CA C7 SA SQ S7 HK H9 D9],HD,4,1,0,0,0,0,[CT HA],21,0.7000,[HJ DJ CA CT C7 SA SQ HA HK H9],[S7 D9],HD,5,2,0,0,0,0
[SJ CT C9 C7 SK HA DA DK DQ D9],S,4,2,0,0,0,0,[ST H7],10,0.0000,[C9 C7 ST SK HA H7 DA DK DQ D9],[SJ CT],-,2,2,1,0,0,1
[HJ CQ C8 SK S8 HK H7 DA DQ D7],H,3,1,0,0,0,0,[S7 D9],0,0.0000,[C8 SK S8 S7 HK H7 DA DQ D9 D7],[HJ CQ],-,1,1,0,0,0,0
[CJ HJ CA CK C8 SA SQ HA HQ H9],CH,5,2,0,0,0,0,[S8 H8],0,0.8000,[CJ HJ CA CK C8 SA HA HQ H9 H8],[SQ S8],CH,5,2,0,0,0,0
[CJ SJ HJ CK CQ C7 HK HQ DK D7],CSH,6,0,0,0,0,0,[C9 DT],10,0.9750,[CJ SJ HJ CK CQ C9 C7 DT DK D7],[HK HQ],CSH,7,0,1,0,1,0
[SJ DJ C9 S8 S7 H8 DA DQ D9 D8],SD,3,1,0,0,0,0,[ST D7],10,0.0000,[C9 ST S8 S7 H8 DA DQ D9 D8 D7],[SJ DJ],-,1,1,1,0,0,0
[HJ CA CK SA ST SK S8 HT H9 DQ],H,3,1,2,1,1,0,[DJ HA],13,0.3000,[HJ DJ CA CK SA SK S8 HA HT H9],[ST DQ],HD,4,2,1,1,0,1
[SJ CT CQ SA SQ S9 S7 HK HQ H7],S,3,1,0,0,0,0,[DJ D9],2,0.0000,[CT CQ SA SQ S9 S7 HK HQ H7 D9],[SJ DJ],-,2,1,0,0,0,0
[SJ CK S9 S7 HT H8 DK DQ D8 D7],S,2,0,1,0,0,0,[HJ ST],12,0.0000,[CK ST S9 S7 HT H8 DK DQ D8 D7],[SJ HJ],-,1,0,2,0,0,0
[CJ SJ DJ CA C8 ST S9 DT DK D9],CSD,5,0,2,0,1,0,[C7 DQ],3,0.9750,[CJ SJ DJ CA C8 C7 DT DK DQ D9],[ST S9],CSD,6,0,1,0,1,1
[CT C7 ST SK S8 HT H9 DA D9 D7],-,2,1,2,0,1,0,[DJ H8],2,0.0000,[C7 ST SK S8 HT H9 H8 DA D9 D7],[DJ CT],-,1,1,2,0,1,1
[CQ C8 SA ST SQ S8 S7 HT HK DQ],-,2,1,2,1,0,0,[CA DK],15,0.0000,[C8 SA ST SQ S8 S7 HT HK DK DQ],[CA CQ],-,1,1,2,1,0,1
[HJ SA S7 HA HT HK H9 H7 DQ D8],H,1,2,1,1,1,0,[SJ D9],2,0.0000,[SA S7 HA HT HK H9 H7 DQ D9 D8],[SJ HJ],-,0,2,1,1,1,0
[DJ CK ST SQ S9 S8 S7 HT HQ DK],D,2,0,2,0,0,0,[C7 H8],0,0.0000,[C7 ST SQ S9 S8 S7 HT HQ H8 DK],[DJ CK],-,1,0,2,0,0,0
[HJ C9 C7 S8 S7 HT H9 H7 DT DK],H,3,0,2,0,0,0,[HA D9],11,0.0000,[C7 S8 S7 HA HT H9 H7 DT DK D9],[HJ C9],-,1,1,2,1,1,0
[HJ CT SA S7 HT HK H8 DT DK DQ],H,2,1,2,0,1,0,[HQ H7],3,0.0000,[SA S7 HT HK HQ H8 H7 DT DK DQ],[HJ CT],-,0,1,2,0,1,1
[HJ CT CK C7 SA SK HT HK HQ DT],H,4,1,2,0,0,0,[DA D7],11,0.0000,[HJ CT CK C7 SA SK HK DA DT D7],[HT HQ],H,4,2,1,1,0,1
[CA ST S8 S7 HA HT HK H8 DT D7],-,1,1,3,1,1,0,[HJ SQ],5,0.0000,[ST SQ S8 S7 HA HT HK H8 DT D7],[HJ CA],-,0,1,3,1,1,1
[CT CK C7 SA ST HA HQ H8 DT D9],-,3,2,2,1,0,0,[DK D8],4,0.0000,[C7 SA ST HA HQ H8 DT DK D9 D8],[CT CK],-,1,2,2,1,1,1
[CJ HJ CA CQ SK S7 H9 H8 DA D8],CH,4,1,0,0,0,0,[HQ DK],7,0.0000,[CA CQ SK S7 HQ H9 H8 DA DK D8],[CJ HJ],-,2,1,0,0,0,0
[SJ CA CT SA SK HT HK H8 DK DQ],S,3,1,1,0,1,0,[HQ D9],3,0.0000,[CT SA SK HT HK HQ H8 DK DQ D9],[SJ CA],-,1,1,1,0,1,1
[SJ HJ CA CQ C9 C8 C7 S9 HQ D8],SH,7,0,0,0,0,0,[CT DK],14,0.9250,[SJ HJ CA CT CQ C9 C8 C7 DK D8],[S9 HQ],SH,8,0,0,0,0,0
[HJ DJ CA CK C7 HA H8 DQ D9 D8],HD,5,1,0,0,0,0,[CJ HT],12,0.8250,[CJ HJ DJ CA CK HA HT H8 D9 D8],[C7 DQ],CHD,5,1,1,1,0,0
[SJ DJ CQ C8 SK H9 H8 DA DQ D8],SD,4,1,0,0,0,0,[CK DK],8,0.0000,[CK CQ C8 SK H9 H8 DA DK DQ D8],[SJ DJ],-,3,1,0,0,0,0
[CJ SJ DJ C9 SA ST SK SQ S9 H9],CSD,4,1,1,1,1,0,[C8 H7],0,0.9250,[CJ SJ DJ C9 C8 SA ST SK SQ S9],[H9 H7],CSD,5,1,1,1,1,0
[DJ CA C8 C7 SK SQ S8 H7 DT D8],D,4,0,1,0,0,0,[ST S9],10,0.0000,[C8 C7 ST SK SQ S9 S8 H7 DT D8],[DJ CA],-,2,0,2,0,1,1
[HJ CT SA S9 S7 HA H9 H8 DT D7],H,2,2,1,0,0,0,[DJ C9],2,0.0000,[HJ DJ CT C9 SA HA H9 H8 DT D7],[S9 S7],HD,4,2,1,0,0,0
[CK C9 C7 SQ S8 HQ DT DK D9 D7],-,3,0,1,0,1,0,[SJ H7],2,0.0000,[C9 C7 SQ S8 HQ H7 DT DK D9 D7],[SJ CK],-,2,0,1,0,1,0
[CK C9 SA HA HT HQ H8 H7 DQ D7],-,2,2,1,1,0,0,[HJ DA],13,0.0000,[C9 SA HA HT HQ H8 H7 DA DQ D7],[HJ CK],-,1,3,1,1,0,0
[CK CQ ST SK HA HK H9 H8 H7 D8],-,2,1,1,0,0,0,[S8 HT],10,0.0000,[ST SK S8 HA HT HK H9 H8 H7 D8],[CK CQ],-,0,1,2,1,2,0
[SJ HJ DJ CT CQ SQ HK H9 H7 DQ],SHD,5,0,0,0,0,0,[CJ S9],2,0.4750,[CJ SJ HJ DJ CT CQ SQ HK H9 H7],[S9 DQ],CSHD,6,0,0,0,0,0
[CT C8 SA SQ HT HQ H9 H8 DK D9],-,2,1,1,0,0,0,[CK D8],4,0.0000,[C8 SA SQ HT HQ H9 H8 DK D9 D8],[CT CK],-,1,1,1,0,0,1
[CJ DJ C9 SA ST S7 H7 DQ D8 D7],CD,3,1,1,1,0,0,[HJ DA],13,0.4000,[CJ HJ DJ C9 SA ST DA DQ D8 D7],[S7 H7],CHD,4,2,1,1,0,0
[CJ DJ CA CK C9 S9 S8 HA DK DQ],CD,5,1,0,0,0,0,[HJ CT],12,1.0000,[CJ HJ DJ CA CT CK C9 HA DK DQ],[S9 S8],CHD,7,1,0,0,0,0
[CJ SJ CQ C8 SA ST SQ HK HQ D9],CS,4,1,1,1,0,0,[C7 SK],4,0.6000,[CJ SJ CQ C8 C7 SA ST SK SQ HQ],[HK D9],CS,5,1,1,1,0,0
[DJ CA CK S8 HA HT HQ H7 DK D9],D,3,1,1,1,0,0,[C8 ST],10,0.0000,[CK C8 ST S8 HA HT HQ H7 DK D9],[DJ CA],-,2,1,2,1,0,1
[CA C9 SA SK SQ S8 H9 H7 DT D9],-,2,1,1,0,0,0,[C8 HK],4,0.0000,[C8 SA SK SQ S8 HK H9 H7 DT D9],[CA C9],-,1,1,1,0,0,1
[CK CQ C9 SA SK SQ HA DK D9 D7],-,3,2,0,0,0,0,[HQ DQ],6,0.0000,[C9 SA SK SQ HA HQ DK DQ D9 D7],[CK CQ],-,1,2,0,0,0,0
